Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
5460-1,2014-07-18,Julia Dunbar,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Small Business,Phoebe Gour,High,Smiths SlimLine Pencil Sharpener,Technology,Small Box,Regular Air,2014-07-25,$4.79,$11.97,$7.18,47.0,$134.48,0.0,$5.71,$127.33,$5.81,$129.93
5461-1,2013-05-29,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Home Office,Mihael Khan,High,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Small Box,Regular Air,2013-05-29,$2.16,$3.85,$1.69,23.0,$127.52,0.01,$3.65,$112.68,$0.70,$123.07
5462-1,2014-01-24,Helen Andreada,"470 Anzac Parade,Kingsford",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Beekin 105-Key Black Keyboard,Office Supplies,Small Box,Regular Air,2014-01-26,$6.39,$19.98,$13.59,8.0,"$1,255.32",0.0,$62.73,"$1,299.37",$4.00,"$1,279.75"
5463-1,2013-12-05,Grobbarah Frawer,"3 Orwell St,Potts Point",Sydney,NSW,Home Office,Leighton Forrest,High,Beekin 105-Key Black Keyboard,Office Supplies,Small Box,Regular Air,2013-12-07,$6.39,$19.98,$13.59,21.0,$63.56,0.09,$18.68,$62.59,$4.00,$63.88
5465-1,2014-01-04,Saphhira Shifley,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,Preston Senome,Low,PastelOcean Color Pencil Set,Office Supplies,Small Box,Express Air,2014-01-05,$11.11,$19.84,$8.73,42.0,$48.60,0.01,$4.40,$45.50,$4.10,$46.63
5465-1,2014-02-23,Chad McGuire,"81 MacLeay St,Potts Point",Sydney,NSW,Consumer,Samantha Chairs,High,Artisan Hi-Liter Fluorescent Desk Style Markers,Technology,Small Box,Regular Air,2014-02-25,$1.76,$3.38,$1.62,13.0,$65.54,0.03,$0.92,$62.16,$0.85,$64.22
5465-1,2015-04-23,Mike Kennedy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,High,1726 Digital Answering Machine,Office Supplies,Small Box,Regular Air,2015-04-23,$8.82,$20.99,$12.17,41.0,$37.58,0.07,$2.53,$26.63,$4.81,$37.64
5466-1,2014-10-23,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,Leighton Forrest,Not Specified,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,Regular Air,2014-10-26,$4.46,$10.89,$6.43,24.0,"$2,057.50",0.04,$105.78,"$2,957.12",$4.50,"$2,494.11"
5467-1,2016-03-06,Robert Marley,"211/25-29 Dixon St,Haymarket",Sydney,NSW,Consumer,Preston Senome,Medium,Binder Posts,Office Supplies,Small Box,Regular Air,2016-03-07,$3.50,$5.74,$2.24,19.0,$4.16,0.0,$0.04,$4.22,$5.01,$46.85
5467-1,2015-10-31,Gary Zandusky,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Small Business,Mihael Khan,Low,Artisan 479 Labels,Office Supplies,Wrap Bag,Regular Air,2015-10-31,$1.59,$2.61,$1.02,48.0,$58.52,0.07,$5.45,$50.47,$0.50,$53.62
5467-1,2014-04-11,Brenda Bowman,"61 York St,Sydney",Sydney,NSW,Corporate,Leighton Forrest,Not Specified,12 Colored Short Pencils,Office Supplies,Small Box,Express Air,2014-04-12,$1.09,$2.60,$1.51,46.0,$5.20,0.01,$0.16,$5.04,$2.40,$7.44
5467-2,2013-07-27,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Corporate,Yvette Biti,Medium,EcoTones Memo Sheets,Office Supplies,Small Pack,Regular Air,2013-07-29,$2.52,$4.00,$1.48,8.0,$436.20,0.03,$33.07,$422.10,$1.30,$410.43
5468-1,2013-09-23,Magdelene Morse,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Low,Smiths Pushpins,Furniture,Large Box,Regular Air,2013-09-22,$0.94,$1.88,$0.94,25.0,$63.84,0.07,$4.36,$59.34,$0.79,$60.43
5469-1,2014-03-19,Michael Paige,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,High,TechSavi Internet Navigator Keyboard,Technology,Small Box,Regular Air,2014-03-21,$6.51,$30.98,$24.47,42.0,"$1,115.28",0.1,$0.00,"$1,115.28",$6.50,"$1,121.78"
5469-1,2014-07-24,Sonia Sunley,"1/50-58 Hunter St,Sydney",Sydney,NSW,Corporate,Preston Senome,Critical,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,2014-07-26,$2.26,$3.58,$1.32,19.0,$139.80,0.0,$5.69,$126.01,$5.47,$138.00
5469-1,2014-02-25,Dearre Gonne,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Medium,Artisan 48 Labels,Office Supplies,Small Box,Regular Air,2014-02-26,$3.84,$6.30,$2.46,34.0,$220.84,0.07,$6.02,$219.50,$0.50,$213.69
5469-1,2013-06-15,Steve Nguyen,"61 York St,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Medium,Bagged Rubber Bands,Office Supplies,Small Box,Express Air,2013-06-16,$0.24,$1.26,$1.02,27.0,$125.46,0.1,$125.34,$122.16,$0.70,$125.55
5469-1,2014-11-30,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,High,Bagged Rubber Bands,Office Supplies,Wrap Bag,Regular Air,2014-12-02,$0.24,$1.26,$1.02,41.0,$45.60,0.02,$6.20,$49.50,$0.70,$40.63
5470-1,2014-09-17,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Express Air,2014-09-18,$4.59,$7.28,$2.69,35.0,$80.11,0.09,$5.64,$76.49,$11.15,$83.68
5470-1,2014-04-17,Dean Percer,"212 Barkly St,St Kilda",Sydney,NSW,Home Office,Natasha Song,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2014-04-18,$4.59,$7.28,$2.69,9.0,$80.08,0.09,$5.61,$74.47,$11.15,$85.62
5470-1,2015-08-14,Justin Knight,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Corporate,Nicholas Fernandes,High,Artisan Poly Binder Pockets,Office Supplies,Small Pack,Regular Air,2015-08-23,$2.26,$3.58,$1.32,11.0,$303.96,0.03,$14.59,$294.51,$5.47,$293.59
5470-1,2013-08-09,Aaron Bergman,"Westfield Sydney,Sydney",Sydney,NSW,Corporate,Natasha Song,Medium,Economy Rollaway Files,Office Supplies,Small Box,Regular Air,2013-08-16,$67.73,$165.20,$97.47,21.0,"$9,499.50",0.02,$783.80,"$7,487.52",$19.99,"$7,269.37"
5470-1,2014-02-15,Brad Thomas,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,High,Artisan Poly Binder Pockets,Office Supplies,Wrap Bag,Express Air,2014-02-16,$2.26,$3.58,$1.32,28.0,$12.20,0.04,$1.22,$12.30,$5.47,$13.75
5470-1,2014-09-22,Gary Hansen,"273 George Street,Sydney",Sydney,NSW,Home Office,Leighton Forrest,Medium,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Express Air,2014-09-29,$4.59,$7.28,$2.69,6.0,$81.58,0.01,$5.61,$74.47,$11.15,$85.62
5470-1,2013-03-23,Thais Sissman,"53-55 Liverpool St,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,Steady Liquid Accent Highlighters,Office Supplies,Small Box,Regular Air,2013-03-26,$3.47,$6.68,$3.21,7.0,$53.94,0.09,$0.67,$53.06,$1.50,$54.68
5470-1,2015-08-23,Roynn Steel,"2/797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Samantha Chairs,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,2015-08-30,$4.59,$7.28,$2.69,42.0,$43.68,0.08,$2.69,$40.71,$11.15,$45.76
5470-1,2014-02-25,Peel Thomas,"60 Commercial Rd,Prahran",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan Hanging File Binders,Office Supplies,Small Box,Express Air,2014-02-26,$3.65,$5.98,$2.33,22.0,$220.20,0.01,$6.02,$216.80,$1.49,$213.19
5470-1,2014-04-17,Greg Guthrie,"523 King St,Newtown",Sydney,NSW,Home Office,Aanya Zhang,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2014-04-19,$4.59,$7.28,$2.69,6.0,$80.08,0.1,$5.61,$74.47,$11.15,$85.62
5471-1,2014-02-25,Trady Freenar,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,Low,Artisan Hanging File Binders,Technology,Small Box,Regular Air,2014-02-26,$3.65,$5.98,$2.33,49.0,$124.98,0.03,$6.82,$123.72,$1.49,$129.59
5471-1,2014-03-28,Dionis Lloyd,"33/4 Barangaroo Avenue,Rosebery",Sydney,NSW,Small Business,Natasha Song,Not Specified,Apex Box Cutter Scissors,Office Supplies,Wrap Bag,Regular Air,2014-03-28,$4.19,$10.23,$6.04,49.0,$225.06,0.07,$15.75,$209.31,$4.68,$213.99
5471-1,2014-01-15,Aleksandra Gannaway,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Medium,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Pack,Regular Air,2014-01-17,$2.50,$5.68,$3.18,22.0,$235.04,0.02,$17.25,$215.89,$3.60,$223.97
5471-1,2014-04-03,Alex Grayson,"501 George St,Sydney",Sydney,NSW,Consumer,Samantha Chairs,High,Apex Box Cutter Scissors,Office Supplies,Wrap Bag,Express Air,2014-04-05,$4.19,$10.23,$6.04,43.0,$225.06,0.03,$15.75,$209.31,$4.68,$213.99
5472-1,2014-07-04,Mike Gockenbach,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,High,Artisan Hanging File Binders,Technology,Small Pack,Regular Air,2014-07-06,$3.65,$5.98,$2.33,10.0,$222.74,0.1,$6.68,$216.06,$1.49,$218.19
5472-1,2013-09-04,Darrin Martin,"221 Barkly St,St Kilda",Melbourne,VIC,Home Office,Yvette Biti,Critical,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Small Box,Regular Air,2013-09-06,$1.92,$3.26,$1.34,41.0,$7.40,0.04,$2.30,$7.22,$1.26,$14.21
5472-1,2013-09-02,Andrew Allen,"2/797 Botany Rd,Rosebery",Sydney,NSW,Consumer,Samantha Chairs,High,"Artisan Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Office Supplies,Small Box,Regular Air,2013-09-03,$1.92,$3.26,$1.34,9.0,$43.76,0.0,$2.46,$42.14,$1.86,$43.04
5472-1,2013-12-29,Ken Plitt,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Artisan Hanging File Binders,Office Supplies,Small Box,Regular Air,2013-12-30,$3.65,$5.98,$2.33,30.0,$167.02,0.09,$13.16,$152.80,$1.49,$157.25
5473-1,2014-09-13,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2014-09-17,$2.50,$5.68,$3.18,8.0,$133.44,0.0,$5.34,$128.10,$3.60,$130.74
5473-1,2014-04-07,Carlos Daly,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Small Business,Charlie Bui,Not Specified,Cando PC940 Copier,Office Supplies,Small Box,Regular Air,2014-04-07,$278.99,$449.99,$171.00,15.0,"$11,495.59",0.0,$931.80,"$11,184.50",$49.00,"$11,166.27"
5475-1,2017-02-04,Roland Black,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Medium,Multimedia Mailers,Office Supplies,Small Pack,Regular Air,2017-02-05,$99.39,$162.93,$63.54,34.0,"$4,499.90",0.04,$43.00,"$4,454.90",$19.99,"$4,069.77"
5475-1,2016-04-24,Shahid Collister,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Consumer,Phoebe Gour,Critical,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Regular Air,2016-04-26,$3.65,$5.98,$2.33,18.0,$398.00,0.06,$27.86,$356.92,$1.49,$356.44
5475-1,2014-05-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Medium,"24 Capacity Maxi Data Binder Racks, Pearl",Technology,Small Box,Regular Air,2014-05-03,$84.22,$210.55,$126.33,34.0,"$6,737.60",0.07,$673.76,"$6,063.84",$9.99,"$6,073.83"
5476-1,2014-12-10,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Small Box,Express Air,2014-12-11,$1.31,$2.84,$1.53,12.0,$47.20,0.04,$4.76,$45.20,$0.93,$46.97
5476-1,2014-05-01,Joni Murtas,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,High,Artisan 487 Labels,Office Supplies,Small Pack,Regular Air,2014-05-02,$2.29,$3.69,$1.40,48.0,$159.40,0.02,$2.59,$158.07,$0.50,$150.57
5476-1,2013-12-23,Brian Dahlen,"1-2/299 Sussex St,Sydney",Sydney,NSW,Consumer,Aanya Zhang,Not Specified,Beekin 105-Key Black Keyboard,Office Supplies,Small Box,Regular Air,2013-12-25,$6.39,$19.98,$13.59,37.0,$451.88,0.03,$43.07,$450.85,$4.00,$453.17
5476-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Not Specified,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Small Box,Regular Air,2013-03-20,$8.92,$29.74,$20.82,42.0,$264.60,0.0,$9.68,$257.56,$6.64,$251.97
5476-1,2014-12-04,Ed Braxton,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,Yvette Biti,Not Specified,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Wrap Bag,Regular Air,2014-12-05,$8.92,$29.74,$20.82,33.0,$265.12,0.06,$16.45,$265.85,$6.64,$269.87
5476-1,2013-08-11,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,VIC,Consumer,Yvette Biti,Medium,Pizazz Colored Pencils,Office Supplies,Small Box,Regular Air,2013-08-13,$1.76,$2.94,$1.18,32.0,$247.26,0.02,$2.45,$142.56,$0.81,$143.38
5476-1,2014-12-10,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Home Office,Nicholas Fernandes,High,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2014-12-11,$4.59,$7.28,$2.69,49.0,$273.62,0.0,$4.77,$264.35,$11.15,$269.77
5477-1,2014-05-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Medium,Office Shears by Apex,Office Supplies,Small Box,Regular Air,2014-05-03,$0.94,$2.08,$1.14,22.0,$53.70,0.07,$2.69,$51.02,$2.56,$52.65
5477-1,2014-02-22,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Home Office,Natasha Song,High,Bagged Rubber Bands,Office Supplies,Small Box,Regular Air,2014-02-23,$0.24,$1.26,$1.02,32.0,$467.92,0.07,$14.00,$451.70,$0.70,$465.20
5477-1,2014-05-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,Critical,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Wrap Bag,Regular Air,2014-05-03,$2.29,$3.58,$1.29,20.0,$53.70,0.06,$2.69,$51.02,$1.63,$52.65
5477-1,2014-05-02,Carlos Meador,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Corporate,Tina Carlton,Critical,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Small Box,Express Air,2014-05-02,$2.29,$3.58,$1.29,23.0,$53.70,0.02,$2.29,$51.02,$1.63,$52.65
5478-1,2013-06-27,John Lucas,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Medium,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Small Box,Regular Air,2013-06-29,$1.31,$2.84,$1.53,48.0,$206.30,0.05,$2.00,$127.10,$0.93,$128.45
5478-1,2015-07-25,Annie Thurman,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,Express Air,2015-07-26,$1.31,$2.84,$1.53,45.0,$136.32,0.1,$9.52,$122.69,$0.93,$123.62
5478-1,2013-05-24,Charlotte Melton,"211/25-29 Dixon St,Haymarket",Sydney,NSW,Consumer,Preston Senome,High,Artisan Hanging File Binders,Technology,Small Pack,Regular Air,2013-05-25,$3.65,$5.98,$2.33,32.0,$147.00,0.08,$15.52,$132.66,$1.49,$131.04
5479-1,2014-04-04,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Corporate,Yvette Biti,Low,Artisan Poly Binder Pockets,Office Supplies,Small Box,Express Air,2014-04-05,$2.26,$3.58,$1.32,18.0,$119.45,0.02,$11.74,$118.46,$5.47,$119.59
5479-1,2013-12-11,Bill Stewart,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Not Specified,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2013-12-15,$2.50,$5.68,$3.18,15.0,$379.62,0.03,$33.57,$259.65,$3.60,$250.97
5479-1,2014-05-08,Michelle Moray,"310 Wattle St,Ultimo",Sydney,NSW,Small Business,Aanya Zhang,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Small Pack,Regular Air,2014-05-12,$2.26,$3.58,$1.32,7.0,$89.50,0.09,$0.00,$89.50,$5.47,$94.97
5479-1,2015-03-03,Anne McFarland,"834 Bourke St,Waterloo",Sydney,NSW,Small Business,Charlie Bui,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Wrap Bag,Express Air,2015-03-01,$2.26,$3.58,$1.32,49.0,$212.80,0.08,$8.26,$217.10,$5.47,$237.09
5479-1,2014-10-20,Tamara Willingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,2013-10-21,$2.26,$3.58,$1.32,31.0,$26.92,0.05,$0.75,$26.63,$5.47,$27.62
5479-1,2014-03-27,Brindarte Groys,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Consumer,Nicholas Fernandes,Medium,Artisan Poly Binder Pockets,Office Supplies,Small Box,Regular Air,2014-03-28,$2.26,$3.58,$1.32,41.0,$89.50,0.01,$0.00,$89.50,$5.47,$94.97
5479-1,2013-12-08,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Small Business,Charlie Bui,High,Apex Elite Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2013-12-15,$3.42,$8.34,$4.92,23.0,$205.00,0.1,$15.36,$209.90,$2.64,$214.39
5479-1,2013-02-25,Theone Pipen,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,High,Artisan Poly Binder Pockets,Technology,Small Box,Regular Air,2013-02-26,$2.26,$3.58,$1.32,27.0,$136.32,0.0,$8.95,$122.69,$5.47,$126.75
5479-1,2013-05-04,Sibella Parks,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,Critical,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Regular Air,2013-05-06,$2.50,$5.68,$3.18,16.0,$255.34,0.01,$25.97,$263.71,$3.60,$258.94
5479-1,2014-05-06,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Not Specified,Artisan Durable Poly Binders,Office Supplies,Wrap Bag,Regular Air,2014-05-08,$3.37,$5.53,$2.16,17.0,$81.45,0.09,$6.52,$74.93,$6.98,$75.68
5479-1,2014-09-13,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Apex Straight Scissors,Office Supplies,Small Box,Regular Air,2014-09-17,$5.19,$12.98,$7.79,2.0,$526.80,0.01,$5.19,$410.05,$3.14,$414.54
5479-1,2014-05-06,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Low,Artisan Hanging File Binders,Office Supplies,Wrap Bag,Regular Air,2014-05-08,$3.65,$5.98,$2.33,44.0,$89.50,0.0,$0.00,$89.50,$1.49,$94.97
5479-1,2014-05-15,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Medium,Artisan Poly Binder Pockets,Office Supplies,Small Pack,Regular Air,2014-05-16,$2.26,$3.58,$1.32,8.0,$89.50,0.03,$0.00,$89.50,$5.47,$94.97
5479-2,2014-05-06,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Low,"Artisan Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",Office Supplies,Wrap Bag,Regular Air,2014-05-08,$1.92,$3.26,$1.34,19.0,$81.45,0.0,$6.52,$74.93,$1.86,$75.68
5479-2,2014-05-06,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Small Business,Tina Carlton,Low,Assorted Color Push Pins,Technology,Small Box,Regular Air,2014-05-08,$0.87,$1.81,$0.94,20.0,$81.45,0.08,$6.52,$74.93,$0.75,$75.68
5479-2,2014-05-06,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Low,Assorted Color Push Pins,Office Supplies,Small Box,Regular Air,2014-05-08,$0.87,$1.81,$0.94,32.0,$81.45,0.1,$6.52,$74.93,$0.75,$75.68
5479-2,2014-05-06,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Critical,Assorted Color Push Pins,Technology,Small Box,Regular Air,2014-05-08,$0.87,$1.81,$0.94,8.0,$81.45,0.05,$6.52,$74.93,$0.75,$75.68
5479-2,2014-05-06,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,Tina Carlton,Medium,Actisan Binder Labels,Technology,Large Box,Regular Air,2014-05-08,$2.45,$3.89,$1.44,30.0,$81.45,0.09,$6.52,$74.93,$7.01,$75.68
5479-2,2014-05-06,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Small Business,Tina Carlton,High,Assorted Color Push Pins,Office Supplies,Small Box,Regular Air,2014-05-08,$0.87,$1.81,$0.94,10.0,$81.45,0.06,$6.52,$74.93,$0.75,$75.68
5480-1,2013-11-03,Jeremy Lonsdale,"163 Concord Road,North Strathfield",Sydney,NSW,Corporate,Charlie Bui,High,Artisan Hanging File Binders,Office Supplies,Small Pack,Express Air,2013-11-03,$3.65,$5.98,$2.33,11.0,$529.64,0.03,$26.94,$520.69,$1.49,$61.48
5480-1,2016-10-14,Lisa DeCherney,"523 King St,Newtown",Sydney,NSW,Consumer,Aanya Zhang,Not Specified,HFX LaserJet 3310 Copier,Office Supplies,Wrap Bag,Regular Air,2016-10-25,$377.99,$599.99,$222.00,32.0,"$2,876.58",0.01,$143.84,"$2,702.35",$24.49,"$2,756.22"
5480-1,2014-07-12,Raymond Book,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Home Office,Mihael Khan,Medium,Binder Posts,Technology,Small Box,Regular Air,2014-07-14,$3.50,$5.74,$2.24,27.0,$258.30,0.05,$0.00,$258.30,$5.01,$263.31
5480-1,2016-01-28,Patrick ODonnell,"21 Wentworth St,Parramatta",Sydney,NSW,Small Business,Aanya Zhang,Medium,Adesso Programmable 142-Key Keyboard,Office Supplies,Small Box,Regular Air,2016-01-29,$32.02,$152.48,$120.46,16.0,"$2,262.00",0.0,$46.32,"$2,216.70",$4.00,"$2,219.31"
5480-1,2014-03-25,Perel Freme,"531 King St,Newtown",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Binder Posts,Furniture,Small Pack,Regular Air,2014-03-26,$3.50,$5.74,$2.24,7.0,$258.30,0.01,$0.00,$258.30,$5.01,$263.31
5481-1,2014-06-08,John Lee,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,Not Specified,TechSavi Internet Navigator Keyboard,Office Supplies,Wrap Bag,Express Air,2014-06-10,$6.51,$30.98,$24.47,31.0,$743.81,0.01,$7.45,$747.47,$6.50,$837.87
5481-1,2014-11-18,Jamie Kunitz,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Smiths Colored Interoffice Envelopes,Office Supplies,Wrap Bag,Regular Air,2014-11-20,$19.83,$30.98,$11.15,18.0,$479.60,0.04,$18.86,$472.70,$19.51,$485.76
5481-1,2014-08-07,John Lucas,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Low,Artisan 474 Labels,Office Supplies,Wrap Bag,Regular Air,2014-08-09,$1.84,$2.88,$1.04,47.0,$88.06,0.07,$1.76,$86.30,$0.99,$88.34
5481-1,2014-02-25,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Home Office,Charlie Bui,Medium,Binder Posts,Technology,Small Box,Regular Air,2014-02-27,$3.50,$5.74,$2.24,33.0,$220.44,0.01,$6.61,$213.83,$5.01,$214.33
5481-1,2015-03-22,Tom Ashbrook,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,High,Alto Perma 2700 Stacking Storage Drawers,Technology,Small Box,Express Air,2015-03-23,$8.92,$29.74,$20.82,29.0,$219.54,0.03,$21.95,$219.57,$6.64,$231.69
5484-1,2014-02-28,Lena Radford,"4A Lyons St,Strathfield",Sydney,NSW,Home Office,Tina Carlton,Low,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Small Box,Regular Air,2014-03-01,$8.92,$29.74,$20.82,50.0,$504.70,0.09,$5.00,$495.70,$6.64,$500.00
5485-1,2014-03-12,Justin Ellison,"163 Concord Road,North Strathfield",Sydney,NSW,Home Office,Charlie Bui,Low,Economy Binders,Office Supplies,Small Box,Regular Air,2014-03-26,$1.33,$2.08,$0.75,12.0,$83.20,0.04,$0.00,$83.20,$1.49,$84.69
5485-1,2013-10-04,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Small Business,Phoebe Gour,Critical,Alto Perma 3000 Stacking Storage Drawers,Office Supplies,Wrap Bag,Regular Air,2013-10-04,$8.92,$29.74,$20.82,17.0,$924.21,0.02,$7.34,$811.08,$6.64,$821.68
5485-1,2013-10-28,Paul Prost,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Yvette Biti,Critical,Wirebound Voice Message Log Book,Office Supplies,Wrap Bag,Regular Air,2013-10-29,$2.90,$4.76,$1.86,36.0,$76.60,0.0,$7.43,$74.33,$0.88,$73.62
